;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5
0.5;34;39;44;49;54;59;64;69;75;80;85;90
0.6;36;42;47;53;58;64;69;75;80;85;91;96
0.7;39;45;51;56;62;68;74;80;85;91;97;103
0.8;42;48;54;60;66;72;79;85;91;97;103;109
0.9;45;51;57;64;70;77;83;90;96;103;109;116
1;47;54;61;68;75;81;88;95;102;108;115;122
1.1;50;57;64;71;78;86;93;100;107;114;121;129
1.2;53;60;68;75;82;90;97;105;112;120;127;135
1.3;55;63;71;79;87;95;102;110;118;126;134;142
1.4;58;66;74;82;91;99;107;115;123;132;140;148
1.5;61;69;78;86;95;103;112;120;129;137;146;154
1.6;63;72;81;90;99;108;117;125;134;143;152;161
1.7;66;75;85;94;103;112;121;130;140;149;158;167
1.8;69;78;88;97;107;116;126;135;145;155;164;174
1.9;71;81;91;101;111;121;131;140;150;160;170;180
2;74;84;95;105;115;125;135;146;156;166;176;187
2.1;77;87;98;108;119;130;140;151;161;172;182;193
2.2;80;91;101;112;123;134;145;156;167;178;188;200
2.3;82;94;105;116;127;138;150;161;172;183;195;206
