;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5
0.5;30;34;37;41;45;49;52;56;60;64;67;71
0.6;32;36;40;44;49;52;56;61;65;69;73;77
0.7;34;39;43;47;52;56;61;65;70;74;79;83
0.8;36;41;46;50;55;60;65;70;75;79;84;89
0.9;38;43;49;54;59;64;69;74;79;85;90;95
1;40;46;51;57;62;68;73;79;84;90;95;101
1.1;43;48;54;60;66;72;77;83;89;95;101;107
1.2;45;51;57;63;69;75;82;88;94;100;106;113
1.3;47;53;60;66;73;79;86;92;99;105;112;118
1.4;49;56;62;69;76;83;90;97;104;111;118;124
1.5;51;58;65;72;80;87;94;101;109;116;123;130
1.6;53;60;68;76;83;91;98;106;114;121;129;136
1.7;55;63;71;79;87;95;103;110;118;126;134;142
1.8;57;65;74;82;90;98;107;115;123;132;140;148
1.9;59;68;76;85;94;102;111;119;128;137;145;154
2;61;70;79;88;97;106;115;124;133;142;151;160
2.1;63;73;82;91;101;110;119;129;138;147;157;166
2.2;65;75;85;94;104;114;123;133;143;153;162;172
2.3;67;77;87;97;108;118;128;138;148;158;168;178
