;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5
0.5;24;27;30;34;36;40;43;46;49;52;55;58
0.6;26;29;33;36;39;43;46;49;53;56;59;63
0.7;28;31;35;39;42;46;49;53;56;60;64;67
0.8;30;34;37;41;45;49;53;57;60;64;68;72
0.9;31;35;40;44;48;52;56;60;64;69;73;77
1;33;38;42;46;51;55;60;64;68;73;77;81
1.1;35;40;44;49;54;58;63;68;72;77;81;86
1.2;37;42;47;51;56;61;66;71;76;81;86;91
1.3;39;44;49;54;59;64;70;75;80;85;90;95
1.4;40;46;51;56;62;67;73;78;84;89;95;100
1.5;42;48;53;59;65;71;76;82;88;93;99;105
1.6;44;50;56;62;68;74;80;86;91;97;103;109
1.7;45;52;58;64;71;77;83;89;95;102;108;114
1.8;47;54;60;67;73;80;86;93;99;106;112;119
1.9;49;56;63;69;76;83;90;96;103;110;117;123
2;51;58;65;72;79;86;93;100;107;114;121;128
2.1;53;60;67;75;82;89;96;104;111;118;126;133
2.2;54;62;69;77;85;92;100;107;115;122;130;138
2.3;56;64;72;80;87;95;103;111;119;127;134;142
