;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.5;31;33;35;38;40;43;45;47;50;52
0.6;32;34;37;39;42;44;47;49;51;54
0.7;33;35;38;40;43;45;48;50;53;55
0.8;34;37;39;42;44;47;49;52;55;57
0.9;35;38;41;43;46;48;51;53;56;59
1.0;37;39;42;44;47;50;52;55;57;60
1.1;38;40;43;46;48;51;54;56;59;62
1.2;39;42;45;47;50;53;55;58;61;63
1.3;40;43;46;48;51;54;57;59;62;65
1.4;42;44;47;50;53;55;58;61;63;66
1.5;43;46;48;51;54;57;60;62;65;68
1.6;44;47;50;53;55;58;61;64;67;69
1.7;45;48;51;54;57;60;62;65;68;71
1.8;47;49;52;55;58;61;64;67;70;73
1.9;48;51;54;56;59;62;65;68;71;74
2.0;49;52;55;58;61;64;67;70;73;76
