;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.5;40;45;51;56;62;67;73;78;83;89
0.6;42;48;54;59;64;70;75;80;86;91
0.7;45;51;56;62;67;72;78;83;88;94
0.8;48;53;59;64;70;75;80;85;91;96
0.9;50;56;61;67;72;77;83;88;93;99
1.0;53;58;64;69;74;80;85;90;96;101
1.1;56;61;66;72;77;82;88;93;98;104
1.2;58;64;69;74;80;85;90;95;101;106
1.3;61;66;72;77;82;87;93;98;103;108
1.4;64;69;74;80;85;90;95;100;106;111
1.5;66;72;77;82;87;93;98;103;108;113
1.6;69;74;80;85;90;95;100;105;111;116
1.7;72;77;82;87;92;98;103;108;113;118
1.8;74;80;85;90;95;100;105;110;116;121
1.9;77;82;87;92;98;103;108;113;118;123
2.0;80;85;90;95;100;105;110;115;121;126
