;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.5;46;52;58;64;70;76;82;88;94;100
0.6;49;55;61;67;73;79;85;91;97;103
0.7;52;58;64;70;76;82;88;94;100;106
0.8;55;61;67;73;79;85;91;97;103;109
0.9;58;64;70;76;82;88;94;100;106;113
1.0;61;67;73;79;85;91;97;104;110;116
1.1;64;70;76;82;88;95;101;107;113;119
1.2;67;73;79;86;92;98;104;110;116;122
1.3;71;76;83;89;95;101;107;113;119;125
1.4;73;80;86;92;98;104;110;116;122;128
1.5;76;83;89;95;101;107;113;119;125;132
1.6;80;86;92;98;104;110;116;122;129;135
1.7;83;89;95;101;107;113;119;126;132;138
1.8;86;92;98;104;110;116;123;129;135;141
1.9;89;95;101;107;113;120;126;132;138;144
2.0;92;98;104;110;117;123;129;135;141;147
