;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.5;52;59;67;74;82;89;97;104;111;119
0.6;55;63;70;78;85;93;100;108;115;123
0.7;59;66;74;81;89;96;104;111;119;126
0.8;62;70;77;85;92;100;107;115;122;130
0.9;66;73;81;88;96;103;111;118;126;133
1.0;69;77;84;92;99;107;115;122;130;137
1.1;73;80;88;95;103;111;118;126;133;141
1.2;76;84;91;99;107;114;122;129;137;144
1.3;80;87;95;102;110;118;125;133;141;148
1.4;83;91;98;106;114;121;129;137;144;152
1.5;86;94;102;110;117;125;133;140;148;156
1.6;90;98;105;113;121;129;136;144;152;159
1.7;93;101;109;117;124;132;140;148;155;163
1.8;97;105;112;120;128;136;143;151;159;167
1.9;100;108;116;124;132;139;147;155;163;170
2.0;104;112;119;127;135;143;151;158;166;174
