;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2.0;2.1;2.2;2.3;2.4;2.5;2.6
0.5;30;32;34;36;38;40;42;44;46;48;50;52;54;56;88;91;45;96;99;101;104;107;109
0.6;31;33;36;38;40;42;45;47;49;51;54;56;58;60;93;96;99;102;104;107;110;113;116
0.7;32;35;37;40;42;45;47;50;52;55;57;60;62;65;98;101;104;107;110;113;116;119;122
0.8;33;36;39;42;45;47;50;53;55;58;61;64;66;69;102;105;109;112;116;119;122;126;129
0.9;35;38;41;44;47;50;53;56;59;62;65;68;71;74;107;110;114;117;121;125;128;132;135
1;36;39;42;46;49;52;55;59;62;65;68;72;75;78;111;115;119;123;126;131;134;138;142
1.1;37;40;44;47;51;55;58;62;65;68;72;76;79;83;116;120;124;128;132;136;140;144;149
1.2;38;42;46;49;53;57;61;64;68;72;76;79;83;87;120;125;129;133;138;142;147;151;155
1.3;39;43;47;51;55;59;63;67;71;75;79;83;87;91;125;129;134;139;143;148;152;157;162
1.4;40;45;49;53;57;62;66;70;75;79;83;87;92;96;129;134;139;144;149;154;158;164;168
1.5;42;46;51;55;60;64;69;73;78;82;87;91;96;100;134;139;144;149;154;159;165;170;175
1.6;43;48;53;57;62;67;71;76;81;86;90;95;100;105;138;144;149;155;160;165;171;176;181
1.7;44;49;54;59;64;69;74;79;84;89;94;99;104;109;143;149;154;160;165;171;177;182;188
1.8;45;50;56;61;66;72;77;82;87;93;98;103;108;114;148;153;159;165;171;177;183;189;194
1.9;48;54;59;65;71;76;82;88;94;100;105;111;117;123;157;163;169;176;182;188;195;201;208
2;49;55;61;67;73;79;85;91;97;103;109;115;121;127;161;168;174;181;188;194;201;207;214
2.1;50;56;63;69;75;81;88;94;100;106;113;119;125;132;166;173;179;186;193;200;207;214;220
2.2;51;58;64;71;77;84;90;97;103;110;116;123;129;136;170;177;184;192;199;206;213;220;227
2.3;52;59;66;73;79;86;93;100;107;113;120;127;133;140;175;182;189;197;204;212;219;226;234
2.4;54;61;68;75;82;89;96;103;110;117;124;131;138;145;179;187;194;202;210;217;225;233;240
2.5;55;62;69;76;84;91;98;106;113;120;127;135;142;149;184;192;200;207;215;223;231;239;247
2.6;74;83;91;99;107;115;123;131;140;148;156;164;172;180;188;196;205;213;221;229;237;245;253
2.7;75;89;92;101;109;117;126;134;142;151;159;168;176;184;193;201;210;218;226;235;243;251;260
2.8;76;85;94;102;111;120;128;137;146;154;163;172;180;189;197;206;215;223;232;241;249;258;267
2.9;78;86;95;104;113;122;131;140;149;157;166;175;184;193;202;211;220;228;237;246;255;264;273
3.0;79;88;97;106;115;124;133;142;152;161;170;179;188;197;206;216;225;234;243;252;261;270;280
3.1;80;89;98;108;117;126;136;145;155;164;173;183;192;202;211;220;230;239;249;258;267;277;286
3.2;81;90;100;110;119;129;139;148;158;167;177;187;196;206;216;225;235;244;254;264;274;283;293
3.3;82;91;101;111;121;131;141;151;161;171;180;190;200;210;220;230;240;250;260;269;279;289;299
3.4;83;93;103;113;123;133;143;154;164;174;184;194;204;215;225;235;245;255;265;275;285;296;306
3.5;84;94;104;115;125;136;146;157;167;177;188;198;208;219;229;240;250;260;271;281;292;302;312
3.6;85;95;106;117;127;138;149;159;170;180;191;202;212;223;234;244;255;266;276;287;298;308;319
3.7;86;97;108;118;129;140;151;162;173;184;195;206;216;227;238;249;260;271;282;293;304;314;325
3.8;87;98;109;120;131;142;154;165;176;187;198;209;220;232;243;254;265;276;287;299;310;321;332
3.9;88;99;111;122;133;145;156;167;179;190;202;213;225;236;247;259;270;281;293;304;316;327;338
4.0;89;100;112;124;135;147;159;170;182;194;205;217;228;240;252;263;275;287;298;310;322;333;345
4.05;90;102;114;126;137;149;161;173;185;197;209;221;233;244;257;268;280;292;304;316;328;340;352
