;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5
0.5;47;53;60;67;73;80;87;93;100;106;113;120
0.6;51;58;65;73;80;87;95;102;109;116;124;131
0.7;55;63;71;79;87;95;103;111;118;126;134;142
0.8;59;68;76;85;94;102;111;119;128;136;145;153
0.9;63;73;82;91;100;109;119;128;137;146;155;165
1;68;77;87;97;107;117;127;137;146;156;166;176
1.1;72;82;93;103;114;124;135;145;156;166;177;187
1.2;76;87;98;109;121;132;143;154;165;176;187;198
1.3;80;92;104;116;127;139;151;163;174;186;198;210
1.4;84;97;109;122;134;146;159;171;184;196;208;221
1.5;88;102;115;128;141;154;167;180;193;206;219;232
1.6;93;106;120;134;147;161;175;188;202;216;230;243
1.7;97;111;126;140;154;169;183;197;211;226;240;254
1.8;101;116;131;146;161;176;191;206;221;236;251;266
