;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5
0.5;52;61;69;77;85;93;101;109;118;126;134;142
0.6;58;66;75;84;92;101;110;118;127;136;145;153
0.7;63;72;81;91;100;109;118;128;137;146;155;164
0.8;68;78;88;97;107;117;127;137;146;156;166;175
0.9;74;84;94;104;115;125;135;146;156;166;176;187
1;79;90;101;111;122;133;144;155;165;176;187;198
1.1;84;96;107;118;129;141;152;164;175;186;197;209
1.2;90;101;113;125;137;149;161;173;184;196;208;220
1.3;95;107;120;132;144;157;169;181;194;206;218;231
1.4;100;113;126;139;152;165;178;190;203;216;229;242
1.5;106;119;132;146;159;173;186;200;213;226;240;253
1.6;111;125;139;153;167;181;195;208;222;236;250;264
1.7;116;131;145;160;174;189;203;217;232;246;261;275
1.8;122;137;152;166;181;196;211;226;241;256;271;286
