;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5
0.5;29;34;38;42;46;50;54;59;63;67;71;75
0.6;32;36;41;45;50;54;59;63;68;72;77;81
0.7;34;39;44;49;54;59;63;68;73;78;83;88
0.8;37;42;47;52;57;63;68;73;78;83;88;94
0.9;39;45;50;56;61;67;72;78;83;89;94;100
1;42;48;54;59;65;71;77;82;88;94;100;106
1.1;44;50;56;63;69;75;81;87;93;100;106;112
1.2;47;53;60;66;73;79;86;92;98;105;111;118
1.3;49;56;63;70;76;83;90;97;103;110;117;124
1.4;52;59;66;73;80;87;95;102;109;116;123;130
1.5;54;62;69;77;84;91;99;106;114;121;129;136
1.6;57;65;72;80;88;96;103;111;119;127;134;142
1.7;59;67;75;83;91;100;108;116;124;132;140;148
1.8;62;70;79;87;95;104;112;121;129;137;146;154
