;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3;;;;;;;;;;
0.5;32;35;38;41;44;47;50;54;57;60;;;;;;;;;;
0.6;33;37;40;43;47;50;53;56;60;63;;;;;;;;;;
0.7;35;38;42;45;49;52;56;59;63;66;;;;;;;;;;
0.8;36;40;44;47;51;55;58;62;66;69;;;;;;;;;;
0.9;38;42;46;49;53;57;61;65;69;72;;;;;;;;;;
1.0;39;43;47;52;55;59;63;68;72;76;;;;;;;;;;
1.1;41;45;49;54;58;62;66;71;75;79;;;;;;;;;;
1.2;42;47;51;55;60;64;69;73;78;82;;;;;;;;;;
1.3;44;48;53;57;62;67;71;76;81;85;;;;;;;;;;
1.4;45;50;55;60;64;69;74;79;84;89;;;;;;;;;;
1.5;47;52;57;62;67;72;77;82;87;92;;;;;;;;;;
1.6;48;53;58;64;69;74;79;85;90;95;;;;;;;;;;
1.7;49;55;60;66;71;76;82;87;93;98;;;;;;;;;;
1.8;51;56;62;68;73;79;85;90;96;101;;;;;;;;;;
1.9;53;58;64;70;76;81;87;93;99;105;;;;;;;;;;
2.0;54;60;66;72;78;84;90;96;102;108;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
