;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3;;;;;;;;;;;
0.5;40;43;46;49;52;55;57;60;63;66;;;;;;;;;;;
0.6;42;45;48;51;55;58;61;64;67;71;;;;;;;;;;;
0.7;43;47;50;54;58;61;65;68;72;75;;;;;;;;;;;
0.8;45;49;53;57;61;64;68;72;76;80;;;;;;;;;;;
0.9;47;51;55;59;64;68;72;76;80;85;;;;;;;;;;;
1.0;48;53;58;62;67;71;76;80;85;89;;;;;;;;;;;
1.1;50;55;60;65;70;75;79;84;89;94;;;;;;;;;;;
1.2;52;57;63;68;73;78;83;88;94;99;;;;;;;;;;;
1.3;54;59;65;70;76;81;87;92;98;103;;;;;;;;;;;
1.4;55;61;67;73;79;85;91;96;102;108;;;;;;;;;;;
1.5;57;63;70;76;82;88;94;100;107;113;;;;;;;;;;;
1.6;59;65;72;78;85;91;98;104;111;117;;;;;;;;;;;
1.7;61;67;74;81;88;95;102;108;115;122;;;;;;;;;;;
1.8;63;70;77;84;91;98;105;112;120;127;;;;;;;;;;;
1.9;64;72;79;87;94;102;109;117;124;131;;;;;;;;;;;
2.0;66;74;81;89;97;105;113;121;128;136;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
