;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3;;;;;;;;;;
0.5;26;28;31;33;35;38;40;42;45;47;;;;;;;;;;
0.6;27;30;32;35;37;39;42;45;47;49;;;;;;;;;;
0.7;29;31;34;36;39;41;44;47;49;52;;;;;;;;;;
0.8;30;32;35;38;40;43;46;48;51;54;;;;;;;;;;
0.9;31;34;37;39;42;45;48;50;53;56;;;;;;;;;;
1.0;32;36;38;41;44;47;50;53;55;58;;;;;;;;;;
1.1;34;37;40;43;46;49;52;55;57;61;;;;;;;;;;
1.2;35;38;41;44;47;50;54;56;59;63;;;;;;;;;;
1.3;37;40;43;46;49;52;55;58;62;65;;;;;;;;;;
1.4;38;41;44;48;51;54;57;61;64;67;;;;;;;;;;
1.5;39;42;46;49;53;56;59;63;66;69;;;;;;;;;;
1.6;40;44;47;51;54;58;61;64;68;71;;;;;;;;;;
1.7;42;46;49;53;56;59;63;66;70;74;;;;;;;;;;
1.8;43;47;50;54;58;61;65;69;72;76;;;;;;;;;;
1.9;45;48;52;56;59;63;67;71;74;78;;;;;;;;;;
2.0;46;50;54;57;61;65;69;73;76;80;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
