;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.5;20;22;24;26;28;30;32;34;36;38
0.6;20;22;24;27;29;31;32;35;37;39
0.7;21;23;25;27;29;31;33;35;37;39
0.8;21;23;25;28;30;32;34;36;38;40
0.9;22;24;26;28;30;32;34;37;39;41
1.0;22;24;26;29;31;33;35;37;39;41
1.1;22;24;27;29;31;33;36;38;40;42
1.2;23;25;27;30;32;34;36;39;41;43
1.3;23;25;28;30;32;35;37;39;41;44
1.4;24;26;28;31;33;35;38;40;42;45
1.5;24;26;29;31;33;36;38;40;43;45
1.6;24;27;29;31;34;36;39;41;44;46
1.7;25;27;30;32;35;37;39;42;44;47
1.8;25;28;30;32;35;38;40;42;45;47
1.9;26;28;31;33;36;38;40;43;46;48
2.0;26;29;31;33;36;39;41;44;46;49
