;0.4;0.5;0.6;0.7;0.8;0.9;1.0;1.1;1.2;1.3
0.5;50;53;55;58;61;80;66;69;88;71
0.6;52;55;59;62;65;69;72;75;78;82
0.7;55;58;62;66;70;74;78;81;85;89
0.8;57;62;66;70;74;79;83;87;92;96
0.9;59;64;69;74;79;84;89;93;98;103
1.0;62;67;73;78;83;89;94;100;105;110
1.1;64;70;76;82;88;94;100;106;112;118
1.2;67;73;80;86;92;99;105;112;118;125
1.3;69;76;83;90;97;104;111;118;125;132
1.4;71;79;86;94;102;109;117;124;132;139
1.5;74;82;90;98;106;114;122;130;138;146
1.6;76;85;93;102;111;119;128;136;145;153
1.7;79;88;97;106;115;124;133;142;151;161
1.8;81;91;100;110;120;129;139;149;158;168
1.9;83;94;104;114;124;134;144;155;165;175
2.0;86;97;107;118;129;139;150;161;172;182
